C
59272
95
383
384
586
635
23743
84735
55748
1374
1375
126129
1384
259307
51056
4143
4144
27430
4548
5033
8974
283208
5184
58510
5831
29920
65263
6470
445
586
1374
1375
126129
57393
6509
6580
6583
6584
114571
10166
83884
788
123096
206358
153201
120103
81539
54407
55089
92745
6519
6520
8501
124935
11254
348932
340024
54716
6534
6536
6541
56301
6542
84889
8140
9057
9056
11136
6580
6583
6584
114571
788
123096
6520
8140
9057
11136
