F
51166
18
33
51
124
125
126
127
128
130
131
137872
26289
10327
211
212
218
221
222
8659
275
587
669
55349
1178
51727
84735
55748
1357
1358
93979
57094
1374
1375
126129
1581
1633
51071
1718
1738
8288
2348
2350
2352
2653
79017
8836
2687
2731
2739
2821
2878
2880
257202
2882
2936
80270
29124
4025
4594
4353
4548
4830
4831
10400
5223
5224
5321
5337
9588
284273
51109
145226
112724
57665
50700
6342
195814
7173
54576
51166
51
124
125
126
127
128
130
131
137872
50808
221
222
8659
240
275
276
277
279
278
279
280
55349
1178
51727
1586
1589
1719
1738
2023
2026
2027
8288
2108
2109
2110
2653
8836
2731
9563
3029
3283
3284
3418
9365
29124
4025
84569
4353
4548
23057
349565
5321
5337
9588
81490
5742
5743
5831
29920
65263
6888
7173
284111
6564
6565
6566
6567
80704
6580
387775
9390
6582
6581
6583
6584
10864
114571
9963
9962
9187
25769
57419
123041
6576
788
89874
123096
376497
11000
10999
10998
64078
222962
114134
8501
124935
160728
6533
6579
11309
6554
9058
284111
6564
6565
6566
9194
6573
6510
6580
6582
6581
6583
6584
114571
9963
9962
6576
788
123096
11001
10998
3177
6521
115584
60482
160728
6579
6578
11309
